Times,Long strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,A1,0,0
1,,-394,-394
2,,886,492
3,,1182,1674
4,,-341,1333
5,,-273,1060
6,,-506,554
7,,-296,258
8,,857,1115
9,,-1300,-185
10,,-632,-817
11,,-1651,-2468
12,,-491,-2959
13,,-2300,-5259
14,,421,-4838
15,,2514,-2324
16,,-781,-3105
17,,1512,-1593
18,,208,-1385
19,,-1616,-3001
20,,555,-2446
21,,-1692,-4138
22,,2812,-1326
23,,-709,-2035
24,,975,-1060
25,,-495,-1555
26,,-833,-2388
27,,-463,-2851
28,,-851,-3702
29,,522,-3180
30,,-1308,-4488
31,,1206,-3282
