Times,Short strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,B6,0,0
1,,2070,2070
2,,-24,2046
3,,-535,1511
4,,1441,2952
5,,2213,5165
6,,-439,4726
7,,692,5418
8,,-1611,3807
9,,-1462,2345
10,,1179,3524
11,,-670,2854
12,,-29,2825
13,,-2587,238
14,,1371,1609
15,,985,2594
16,,1385,3979
17,,-809,3170
18,,409,3579
19,,420,3999
20,,1399,5398
21,,1170,6568
22,,-547,6021
23,,385,6406
24,,-4290,2116
25,,-479,1637
26,,2834,4471
27,,-481,3990
28,,772,4762
29,,-2003,2759
30,,-10,2749
31,,-2629,120
32,,-1325,-1205
33,,2079,874
34,,1119,1993
35,,745,2738
36,,-1647,1091
37,,-805,286
38,,-1007,-721
39,,924,203
40,,617,820
41,,-1355,-535
42,,1507,972
43,,894,1866
44,,-299,1567
45,,-208,1359
46,,-959,400
47,,-1482,-1082
48,,2393,1311
49,,618,1929
50,,1390,3319
51,,-222,3097
52,,-1413,1684
53,,468,2152
54,,-909,1243
55,,-524,719
56,,-110,609
57,,326,935
58,,-1759,-824
59,,-1224,-2048
60,,-873,-2921
61,,-1399,-4320
62,,1195,-3125
63,,-540,-3665
64,,-1585,-5250
65,,1360,-3890
66,,2211,-1679
67,,-2254,-3933
68,,-1511,-5444
69,,-5165,-10609
70,,-238,-10847
71,,-3424,-14271
72,,-881,-15152
73,,-713,-15865
74,,-680,-16545
75,,-1707,-18252
76,,-4066,-22318
77,,203,-22115
78,,-548,-22663
79,,-700,-23363
80,,593,-22770
81,,-1036,-23806
82,,-384,-24190
83,,-824,-25014
84,,-1197,-26211
85,,-409,-26620
86,,677,-25943
